at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2022,121,6-2022,132,1,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,
1,5-2022,122,6-2022,132,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
2,5-2022,24,6-2022,132,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,5-2022,123,6-2022,132,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,6-2022,124,5-2022,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5,5-2022,125,6-2022,132,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
6,5-2022,126,6-2022,132,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7,5-2022,127,6-2022,132,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,6-2022,128,5-2022,123,1,,,,,,,,,,,,,,,,,,,1,,,121,,,,,
9,5-2022,129,6-2022,135,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
10,5-2022,130,6-2022,135,,1,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
11,5-2022,131,6-2022,135,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
12,5-2022,126,6-2022,135,,,,,,,,1,1,1,1,,,,,,,,,,1,,124,,,,,
13,6-2022,132,5-2022,123,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,6-2022,10,5-2022,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
15,5-2022,121,6-2022,128,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
16,5-2022,122,6-2022,128,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
17,5-2022,24,6-2022,128,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
18,5-2022,123,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
19,6-2022,133,5-2022,127,1,,,,,,,,,,,,,,,,,,,1,,,122,,,,,
20,5-2022,125,6-2022,128,1,,,1,,,,,,1,,,,,,,,,,,1,,10,132,,,,
21,6-2022,124,5-2022,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,5-2022,130,6-2022,128,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,
23,5-2022,127,6-2022,128,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
24,5-2022,131,6-2022,128,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
25,5-2022,129,6-2022,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
26,5-2022,24,6-2022,128,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
27,5-2022,123,6-2022,128,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
28,5-2022,121,6-2022,128,1,2,,,,1,,,,,,,,,,,,,,,1,,132,128,,,,
29,6-2022,135,5-2022,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,Mark Soghomonian ran for Ajith
30,6-2022,124,5-2022,127,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,
31,6-2022,128,5-2022,127,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
32,6-2022,132,5-2022,127,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
33,6-2022,10,5-2022,127,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,
34,6-2022,133,5-2022,127,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
35,6-2022,134,5-2022,127,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,6-2022,124,5-2022,123,,,,,,,,1,,,,,,,,,,,,,1,,24,,,,,
