at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2022,123,7-2022,137,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
1,5-2022,121,7-2022,137,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,
2,5-2022,122,7-2022,17,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
3,5-2022,127,7-2022,17,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,
4,5-2022,24,7-2022,137,1,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,
5,5-2022,125,7-2022,137,1,1,1,,,,,,1,,,1,,,1,1,,,,,,,,,,,,
6,5-2022,126,7-2022,137,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,
7,5-2022,130,7-2022,137,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
8,5-2022,136,7-2022,137,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
9,7-2022,17,5-2022,123,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
10,7-2022,137,5-2022,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
11,5-2022,129,7-2022,137,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
12,7-2022,138,5-2022,123,1,,1,,,,,,,,,,,,,,,,,,1,,131,121,,,,
13,5-2022,131,7-2022,137,1,,1,,,,,,1,1,,,,,,1,1,,,,,,,,,,,
14,5-2022,126,7-2022,137,,,,,,,,,1,1,1,,,,,1,1,,,,,,,,,,,
15,5-2022,130,7-2022,137,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
16,5-2022,122,7-2022,137,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
17,5-2022,123,7-2022,137,,,,,,,,1,1,,,,,,1,,,,,,,1,52,138,,,,
18,5-2022,24,7-2022,54,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,7-2022,54,5-2022,123,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
20,7-2022,52,5-2022,123,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,7-2022,60,5-2022,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
