at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,6-2022,148,3-2022,83,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
1,6-2022,128,3-2022,83,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2,6-2022,149,3-2022,83,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
3,6-2022,150,3-2022,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4,6-2022,151,3-2022,29,1,,,,,,,,,,,,,,,,,,,1,,,119,,,,,
5,3-2022,154,6-2022,128,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
6,3-2022,145,6-2022,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7,3-2022,119,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,6-2022,133,3-2022,83,1,,1,,,,,,,,,,,1,,,,,,,1,,145,,,,,
9,6-2022,124,3-2022,83,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
10,6-2022,152,3-2022,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,3-2022,93,6-2022,128,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,3-2022,118,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,6-2022,153,3-2022,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,6-2022,148,3-2022,83,,,,,,,,,,,,,,,,,,,,,1,,120,,,,,
15,3-2022,155,6-2022,128,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,3-2022,117,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,6-2022,128,3-2022,29,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
18,6-2022,149,3-2022,29,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,6-2022,150,3-2022,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,3-2022,116,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,6-2022,151,3-2022,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,6-2022,133,3-2022,29,1,,,,,,,,,,,,,,,,,,,,1,,120,29,,,,
23,3-2022,83,6-2022,128,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
24,3-2022,29,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,6-2022,124,3-2022,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
26,6-2022,152,3-2022,117,1,,,,,,,,,,,,,,,,,,,,1,,120,117,,,,
27,3-2022,120,6-2022,128,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28,3-2022,118,6-2022,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
29,6-2022,153,3-2022,117,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
30,3-2022,93,6-2022,128,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
31,3-2022,119,6-2022,128,,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,,,
32,3-2022,83,6-2022,128,1,2,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
33,3-2022,117,6-2022,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
34,3-2022,116,6-2022,128,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
35,3-2022,145,6-2022,128,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
36,3-2022,154,6-2022,128,1,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,
37,3-2022,29,6-2022,128,1,,,1,,,,,,,,,,,,,,,,,1,,151,148,,,,
38,6-2022,128,3-2022,145,1,,,,,,,,,,,,,,,,,,,1,,,93,,,,,
39,3-2022,155,6-2022,151,1,,1,,,,,,1,,1,,,,1,,1,,,,,,,,,,,
40,3-2022,120,6-2022,151,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
41,3-2022,117,6-2022,151,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
