at-bat,batting team,batter,pitching team,pitcher,attempt,rbi,single,double,triple,quadruple,home run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,FSD,148,BGB,83,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
1,FSD,128,BGB,83,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
2,FSD,149,BGB,83,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
3,FSD,150,BGB,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4,FSD,151,BGB,29,1,,,,,,,,,,,,,,,,,,,1,,,119,,,,,
5,BGB,154,FSD,128,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
6,BGB,145,FSD,128,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7,BGB,119,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,FSD,133,BGB,83,1,,1,,,,,,,,,,,1,,,,,,,1,,145,,,,,
9,FSD,124,BGB,83,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
10,FSD,152,BGB,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,BGB,93,FSD,128,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,BGB,118,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,FSD,153,BGB,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,FSD,148,BGB,83,,,,,,,,,,,,,,,,,,,,,1,,120,,,,,
15,BGB,155,FSD,128,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGB,117,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,FSD,128,BGB,29,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
18,FSD,149,BGB,29,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,FSD,150,BGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,BGB,116,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,FSD,151,BGB,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,FSD,133,BGB,29,1,,,,,,,,,,,,,,,,,,,,1,,120,29,,,,
23,BGB,83,FSD,128,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
24,BGB,29,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,FSD,124,BGB,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
26,FSD,152,BGB,117,1,,,,,,,,,,,,,,,,,,,,1,,120,117,,,,
27,BGB,120,FSD,128,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28,BGB,118,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
29,FSD,153,BGB,117,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
30,BGB,93,FSD,128,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
31,BGB,119,FSD,128,,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,,,
32,BGB,83,FSD,128,1,2,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
33,BGB,117,FSD,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
34,BGB,116,FSD,128,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
35,BGB,145,FSD,128,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
36,BGB,154,FSD,128,1,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,
37,BGB,29,FSD,128,1,,,1,,,,,,,,,,,,,,,,,1,,151,148,,,,
38,FSD,128,BGB,145,1,,,,,,,,,,,,,,,,,,,1,,,93,,,,,
39,BGB,155,FSD,151,1,,1,,,,,,1,,1,,,,1,,1,,,,,,,,,,,
40,BGB,120,FSD,151,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
41,BGB,117,FSD,151,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
