at-bat,batting team,batter,pitching team,pitcher,attempt,rbi,single,double,triple,quadruple,home run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,MAD,75,BGB,83,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
1,BGB,93,MAD,55,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,BGB,119,MAD,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,MAD,141,BGB,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
4,MAD,139,BGB,83,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,MAD,156,BGB,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,BGB,145,MAD,55,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
7,BGB,118,MAD,55,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
8,BGB,117,MAD,55,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
9,BGB,83,MAD,55,1,2,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
10,BGB,29,MAD,55,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
11,BGB,84,MAD,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
12,MAD,157,BGB,83,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
13,MAD,53,BGB,83,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
14,MAD,144,BGB,83,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
15,MAD,140,BGB,83,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,MAD,55,BGB,29,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
17,BGB,155,MAD,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
18,BGB,120,MAD,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
19,MAD,106,BGB,29,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
20,MAD,143,BGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,BGB,93,MAD,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,MAD,156,BGB,29,,,,,,,,1,,,,,,1,1,,,,,,1,,145,84,,,,
23,MAD,139,BGB,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24,BGB,118,MAD,144,1,,1,,,,,,,,,,,,,,,,,,,1,53,,,,,
25,MAD,157,BGB,29,1,,,,,,,,,,,,,,,,,,,1,,,117,,,,,
26,BGB,119,MAD,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,MAD,141,BGB,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
28,MAD,75,BGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
29,BGB,145,MAD,144,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
30,BGB,84,MAD,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
31,MAD,143,BGB,29,,,,,,,,,,,,,,,,,,,,,1,,120,119,,,,
32,BGB,83,MAD,144,1,,,,,,,,,,,,,,,,,,,1,,,157,,,,,
33,MAD,106,BGB,29,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
34,MAD,53,BGB,29,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
35,MAD,144,BGB,29,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
36,MAD,140,BGB,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
37,BGB,117,MAD,144,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
38,BGB,29,MAD,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,MAD,55,BGB,83,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
40,MAD,75,BGB,83,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
41,MAD,144,BGB,83,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
42,BGB,155,MAD,144,1,,,,,,,,,,,,,,,,,,,1,,,106,,,,,
43,MAD,157,BGB,83,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
44,MAD,139,BGB,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
45,MAD,140,BGB,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
46,BGB,120,MAD,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
47,BGB,117,MAD,144,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
48,BGB,119,MAD,144,,,,,,,,1,,,,,,,,,,,,,1,,55,106,,,,
49,MAD,156,BGB,118,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
