at-bat,batting team,batter,pitching team,pitcher,attempt,rbi,single,double,triple,quadruple,home run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,CGB,94,FRE,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,FRE,46,CGB,117,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
2,FRE,76,CGB,117,1,,,1,,,,,,,,,,,1,1,,,,,1,,29,116,,,,
3,FRE,69,CGB,117,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
4,FRE,18,CGB,117,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,CGB,116,FRE,90,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
6,CGB,93,FRE,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7,FRE,51,CGB,117,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
8,FRE,90,CGB,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
9,FRE,109,CGB,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10,CGB,117,FRE,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
11,CGB,29,FRE,90,1,,,,,,,,,,,,,,,,,,,1,,,51,,,,,
12,FRE,71,CGB,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,CGB,118,FRE,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
14,CGB,119,FRE,90,1,,,,,,,,,,,,,,,,,,,1,,,109,,,,,
15,FRE,46,CGB,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
16,FRE,90,CGB,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,CGB,96,FRE,51,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
18,CGB,120,FRE,51,1,,,,1,,,,,,,,,,,,,,,,1,,76,46,,,,
19,CGB,83,FRE,51,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
20,CGB,117,FRE,51,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
21,CGB,116,FRE,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
22,FRE,76,CGB,83,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,
23,FRE,18,CGB,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
24,FRE,69,CGB,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
25,FRE,109,CGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
26,CGB,93,FRE,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
27,CGB,118,FRE,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
28,FRE,71,CGB,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
29,CGB,94,FRE,51,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,CGB,120,FRE,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,
