at-bat,batting team,batter,pitching team,pitcher,attempt,rbi,single,double,triple,quadruple,home run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,NBQ,121,FSD,132,1,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,
1,NBQ,122,FSD,132,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
2,NBQ,24,FSD,132,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
3,NBQ,123,FSD,132,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,FSD,124,NBQ,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5,NBQ,125,FSD,132,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
6,NBQ,126,FSD,132,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7,NBQ,127,FSD,132,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,FSD,128,NBQ,123,1,,,,,,,,,,,,,,,,,,,1,,,121,,,,,
9,NBQ,129,FSD,135,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
10,NBQ,130,FSD,135,,1,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
11,NBQ,131,FSD,135,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
12,NBQ,126,FSD,135,,,,,,,,1,1,1,1,,,,,,,,,,1,,124,,,,,
13,FSD,132,NBQ,123,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,FSD,10,NBQ,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
15,NBQ,121,FSD,128,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
16,NBQ,122,FSD,128,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
17,NBQ,24,FSD,128,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
18,NBQ,123,FSD,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
19,FSD,133,NBQ,127,1,,,,,,,,,,,,,,,,,,,1,,,122,,,,,
20,NBQ,125,FSD,128,1,,,1,,,,,,1,,,,,,,,,,,1,,10,132,,,,
21,FSD,124,NBQ,123,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,NBQ,130,FSD,128,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,
23,NBQ,127,FSD,128,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
24,NBQ,131,FSD,128,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
25,NBQ,129,FSD,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
26,NBQ,24,FSD,128,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
27,NBQ,123,FSD,128,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
28,NBQ,121,FSD,128,1,2,,,,1,,,,,,,,,,,,,,,1,,132,128,,,,
29,FSD,135,NBQ,127,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,Mark Soghomonian ran for Ajith
30,FSD,124,NBQ,127,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,
31,FSD,128,NBQ,127,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
32,FSD,132,NBQ,127,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
33,FSD,10,NBQ,127,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,
34,FSD,133,NBQ,127,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
35,FSD,134,NBQ,127,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
36,FSD,124,NBQ,123,,,,,,,,1,,,,,,,,,,,,,1,,24,,,,,
