at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,5-2023,129,3-2023,145,1,,1,,,,,,,,,,,1,,,,,,,1,,93,145,,,,
1,5-2023,126,3-2023,145,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-2023,94,5-2023,127,,,,,,,,1,,,,,,,,,,,,,,1,125,27,,,,
3,3-2023,93,5-2023,127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,5-2023,125,3-2023,145,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5,5-2023,131,3-2023,145,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,3-2023,119,5-2023,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
7,3-2023,154,5-2023,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
8,3-2023,117,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
9,5-2023,160,3-2023,145,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10,3-2023,96,5-2023,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
11,3-2023,145,5-2023,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
12,3-2023,29,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,5-2023,37,3-2023,117,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
14,5-2023,27,3-2023,117,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
15,5-2023,130,3-2023,117,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
16,5-2023,127,3-2023,117,1,1,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,
17,5-2023,162,3-2023,117,1,1,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
18,5-2023,27,3-2023,83,1,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
19,5-2023,130,3-2023,29,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
20,5-2023,127,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,119,,,,,
21,3-2023,83,5-2023,127,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
22,3-2023,120,5-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23,5-2023,129,3-2023,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
24,5-2023,126,3-2023,117,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
25,5-2023,131,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
26,3-2023,154,5-2023,127,1,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,
27,3-2023,119,5-2023,127,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
28,3-2023,117,5-2023,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
29,3-2023,83,5-2023,127,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,3-2023,29,5-2023,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
31,5-2023,125,3-2023,117,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
32,5-2023,37,3-2023,117,1,,,,,,,,,,,,,,,,,,,,1,,120,83,,,,
33,3-2023,93,5-2023,127,1,,,,,,,,,,,,,,,,,,,,,1,37,,,,,
34,5-2023,160,3-2023,117,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
35,5-2023,162,3-2023,117,1,,,,,,,,,,,,,,,,,,,1,,,29,,,,,
36,3-2023,94,5-2023,127,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
37,3-2023,145,5-2023,127,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
38,3-2023,120,5-2023,127,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
39,3-2023,96,5-2023,127,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
40,3-2023,83,5-2023,27,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
41,3-2023,117,5-2023,27,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
42,5-2023,125,3-2023,117,,,,,,,,,,,,,,,,,,,,,1,,83,119,,,,
43,3-2023,154,5-2023,37,1,,1,,,,,,,,,1,,1,1,1,,,,,,,,,,,,
44,3-2023,119,5-2023,37,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,,
45,3-2023,29,5-2023,37,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
46,5-2023,129,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
47,3-2023,93,5-2023,37,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
48,3-2023,145,5-2023,37,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
49,3-2023,83,5-2023,37,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
50,3-2023,94,5-2023,37,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
51,5-2023,131,3-2023,117,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
52,5-2023,27,3-2023,117,1,,,,,,,,,,,,,,,,,,,1,,,120,,,,,
53,3-2023,96,5-2023,37,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
54,5-2023,37,3-2023,117,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
55,5-2023,126,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
56,3-2023,154,5-2023,162,1,,,,1,,,,,,,,,,,1,,,,,1,,37,27,,,,
57,3-2023,119,5-2023,162,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
58,5-2023,160,3-2023,117,1,,1,,,,,,,,,,,,,,,,,,,1,119,,,,,
59,3-2023,145,5-2023,27,,,,,,,,1,,,,,,1,,,,,,,1,,160,130,,,,
60,3-2023,117,5-2023,27,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
61,5-2023,162,3-2023,117,,,,,,,,,,,,,,,,,,,,,1,,120,119,,,,
62,3-2023,83,5-2023,162,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
63,3-2023,29,5-2023,27,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
64,5-2023,130,3-2023,117,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
65,5-2023,127,3-2023,117,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,
66,5-2023,27,3-2023,117,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
67,5-2023,131,3-2023,117,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
68,5-2023,130,3-2023,117,1,2,,1,,,,,,,,,,,1,,,,,,1,,96,29,,,,
69,5-2023,127,3-2023,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
70,3-2023,93,5-2023,27,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
71,3-2023,94,5-2023,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
72,5-2023,162,3-2023,117,,,,,,,,1,,1,,,,1,,1,,,,,,1,119,117,,,,
73,5-2023,126,3-2023,117,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
74,3-2023,96,5-2023,27,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
75,3-2023,120,5-2023,27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
76,5-2023,37,3-2023,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
