ID,CGB,(g),(pa),ab,at,(a1),1s,2s,3s,4s,hr,bi,s1,s2,s3,s4,s5,r,z,k,f,t,p,fo,tg,pg,pi,a,GP,SO,CG,W,L,S,R,O,Z,K,(PA),AB,AT,OS,1S,2S,3S,4S,HR
203,Kyle Cruz,1,4,4,3,,2,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
204,Kanwar Dhaliwal,1,3,3,3,,,1,,,,1,,,,,,1,2,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
207,Dominic Moore,1,4,4,4,,2,1,1,,,,,,,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
208,Daniel Rulan,1,4,4,4,,4,,,,,1,,,,1,,1,,,,,,1,,2,,2,,,,,,,,,,,,,,,,,,,
209,Thomas Sanchez,1,4,4,4,,,,,,,,,,,,,,3,1,,,,1,,,,1,1,,,,,,,2,,,3,3,3,2,1,1,,,
210,Jojo Thomas,1,4,4,4,,2,,,,,1,,,,,,,2,,,,,,,,,1,1,,,,,,9,10,3,,28,27,17,19,5,4,2,,
211,Roshan Thomas,1,5,5,5,,2,1,2,,,3,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,1,1,1,,1,,,
212,Artashes Yeritsyan,1,4,4,2,,,,,,,,2,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
213,Daniel Yeritsyan,1,4,4,4,,2,1,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
214,Kaden Zhang,1,4,4,2,1,1,1,,,,,1,,,,,1,,,,1,,,,,,1,1,,,,,,,3,2,,5,5,5,3,2,1,,,
