at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,3-2023,129,4-2023,69,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
1,3-2023,126,4-2023,69,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
2,3-2023,24,4-2023,69,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
3,3-2023,130,4-2023,69,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
4,3-2023,127,4-2023,69,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
5,3-2023,131,4-2023,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,4-2023,72,3-2023,127,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
7,4-2023,69,3-2023,127,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
8,4-2023,52,3-2023,127,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
9,4-2023,71,3-2023,127,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
10,3-2023,125,4-2023,164,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,
11,3-2023,163,4-2023,164,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
12,3-2023,162,4-2023,69,1,2,,1,,,,,,,,,,,,,,,,,1,,71,8,,,,
13,4-2023,76,3-2023,127,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
14,4-2023,109,3-2023,127,1,,,,,,,,,,,,,,,,,,,1,,,24,,,,,
15,3-2023,160,4-2023,52,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
16,3-2023,129,4-2023,52,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
17,3-2023,24,4-2023,8,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,4-2023,135,3-2023,127,1,,1,,,,,,,,,,,,,,,,,,1,,131,162,,,,
19,3-2023,125,4-2023,164,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,4-2023,18,3-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,3-2023,163,4-2023,164,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,4-2023,164,3-2023,127,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
23,4-2023,8,3-2023,127,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,4-2023,69,3-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,3-2023,131,4-2023,164,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
26,3-2023,126,4-2023,164,1,,1,,,,,,,,,,,1,,,,,,,1,,164,109,,,,
27,3-2023,130,4-2023,8,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,4-2023,72,3-2023,127,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
29,4-2023,76,3-2023,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
