ID,MAD,(g),(pa),ab,at,(a1),1s,2s,3s,4s,hr,bi,s1,s2,s3,s4,s5,r,z,k,f,t,p,fo,tg,pg,pi,a,GP,SO,CG,W,L,S,R,O,Z,K,(PA),AB,AT,OS,1S,2S,3S,4S,HR
401,Andrew Aguilar,1,1,1,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
403,Vidith Balasa,1,2,2,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Christian Chavira,1,3,3,3,,,1,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Raul Diaz,1,4,3,2,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Dominik Espinoza,1,3,3,2,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Mason Expinoza,1,3,3,3,,1,1,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Robel Gembre,1,2,2,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Noah Kennedy,1,4,4,4,,2,1,,,,,,,,,,2,,,1,,,,,,1,,1,,,1,,,1,10,3,3,18,17,13,9,3,2,,,
410,Peyton Kragie,1,4,4,4,,3,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
411,Brian Kwon,1,4,4,4,,1,1,1,,,4,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
412,Cooper Meeks,1,3,3,3,,1,,,,,,,1,,,,1,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
413,Josh Mimura,1,3,3,3,,2,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
415,Cris Tevendale,1,3,3,3,,2,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,
416,Alonzo Tovar,1,3,3,3,,1,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,0,7,6,,19,19,14,12,7,,,,
