at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2023,53,3-2023,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,3-2023,118,8-2023,53,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-2023,117,8-2023,53,1,,,,,,,,,,,,,,,,,,,1,,,158,,,,,
3,8-2023,66,3-2023,128,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
4,8-2023,158,3-2023,128,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
5,8-2023,165,3-2023,128,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
6,8-2023,168,3-2023,128,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,8-2023,140,3-2023,128,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
8,3-2023,94,8-2023,53,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
9,3-2023,93,8-2023,53,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,3-2023,128,8-2023,53,1,,,,,,,,,,,,,,,,,,,1,,,144,,,,,
11,8-2023,141,3-2023,117,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
12,8-2023,139,3-2023,117,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
13,8-2023,144,3-2023,117,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
14,8-2023,157,3-2023,117,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
15,8-2023,143,3-2023,117,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
16,8-2023,55,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,3-2023,161,8-2023,53,1,,,,,,,,,,,,,,,,,,,1,,,140,,,,,
18,8-2023,158,3-2023,83,1,,,,,,,,,,,,,,,,,,,1,,,128,,,,,
19,3-2023,84,8-2023,53,1,,,1,,,,,,,,,,,,,,,,,,1,158,,,,,
20,8-2023,66,3-2023,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,8-2023,165,3-2023,83,1,,,,,,,,,,,,,,,,,,,,,,83,,,,,
22,3-2023,83,8-2023,53,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,3-2023,120,8-2023,53,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
24,8-2023,139,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,3-2023,29,8-2023,53,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
26,3-2023,117,8-2023,53,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
27,3-2023,128,8-2023,53,1,,,,,,,,,,,,,,,,,,,1,,,55,,,,,
28,8-2023,141,3-2023,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
29,8-2023,168,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
30,3-2023,93,8-2023,53,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,
31,3-2023,84,8-2023,53,1,,,,,,,,,,,,,,,,,,,1,,,158,,,,,
32,8-2023,144,3-2023,83,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
33,8-2023,157,3-2023,83,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
34,8-2023,140,3-2023,83,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
35,8-2023,143,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
36,3-2023,118,8-2023,53,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
