at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,3-2023,118,8-2023,158,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1,3-2023,93,8-2023,158,1,,,,,,,,,,,,,,,,,,,1,,,66,,,,,
2,8-2023,158,3-2023,29,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
3,8-2023,53,3-2023,29,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
4,8-2023,139,3-2023,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,8-2023,165,3-2023,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
6,3-2023,84,8-2023,158,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
7,3-2023,161,8-2023,158,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,8-2023,66,3-2023,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
9,8-2023,141,3-2023,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,8-2023,157,3-2023,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
11,3-2023,96,8-2023,158,1,,,,,,,,,,,,,,,,,,,1,,,158,,,,,
12,8-2023,140,3-2023,83,1,,,1,,,,,,,,,,,1,,,,,,1,,29,93,,,,
13,8-2023,168,3-2023,83,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
14,3-2023,29,8-2023,158,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
15,3-2023,117,8-2023,158,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,
16,3-2023,83,8-2023,158,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
17,3-2023,120,8-2023,165,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
18,3-2023,29,8-2023,165,,1,,,,,,,,,,,,,,,,,,1,,,158,,,,,
19,8-2023,144,3-2023,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
20,8-2023,143,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
21,3-2023,118,8-2023,165,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,,,,,
22,3-2023,84,8-2023,165,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
23,3-2023,117,8-2023,165,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
24,3-2023,83,8-2023,165,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
25,3-2023,93,8-2023,165,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
26,3-2023,120,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,8-2023,158,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,118,,,,,
28,3-2023,96,8-2023,165,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,3-2023,161,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
30,8-2023,66,3-2023,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31,8-2023,168,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,84,,,,,
32,3-2023,118,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
33,8-2023,139,3-2023,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
34,3-2023,161,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
35,8-2023,141,3-2023,83,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
36,8-2023,53,3-2023,83,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
37,8-2023,140,3-2023,83,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
38,8-2023,165,3-2023,29,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
39,8-2023,144,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,161,,,,,
40,3-2023,93,8-2023,165,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
41,3-2023,117,8-2023,165,1,,,,,,,,,,,,,,,,,,,1,,,139,,,,,
42,8-2023,157,3-2023,83,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
43,8-2023,143,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
44,3-2023,96,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
45,8-2023,143,3-2023,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
46,3-2023,29,8-2023,165,1,,,1,,,,,,,,,,,,,,,,,1,,144,157,,,,
47,8-2023,66,3-2023,83,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
48,8-2023,158,3-2023,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
49,3-2023,83,8-2023,165,1,,1,,,,,,,,,,,,,,,,,,1,,158,,,,,
50,8-2023,139,3-2023,83,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
51,8-2023,53,3-2023,29,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
52,8-2023,168,3-2023,29,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
53,8-2023,144,3-2023,83,1,,,,,,,,,,,,,,,,,,,1,,,120,,,,,
54,3-2023,84,8-2023,165,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
55,8-2023,141,3-2023,29,1,,,,,,,,,,,,,,,,,,,1,,,83,,,,,
56,3-2023,120,8-2023,165,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
57,3-2023,118,8-2023,165,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
58,3-2023,117,8-2023,165,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
59,3-2023,29,8-2023,165,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
60,3-2023,83,8-2023,165,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
61,3-2023,84,8-2023,165,1,,,,,,,,,,,,,,,,,,,1,,,157,,,,,
62,8-2023,157,3-2023,117,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
63,8-2023,165,3-2023,117,1,,,,,,,,,,,,,,,,,,,1,,,118,,,,,
64,3-2023,161,8-2023,165,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
65,3-2023,93,8-2023,165,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
66,8-2023,140,3-2023,117,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
67,8-2023,165,3-2023,117,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
68,8-2023,157,3-2023,117,,,,,,,,,,,,,,,,,,,,,,1,84,,,,,
69,3-2023,96,8-2023,165,1,,,,,,,,,,,,,,,,,,,1,,,53,,,,,
70,8-2023,66,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
71,3-2023,120,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
72,8-2023,158,3-2023,117,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
73,8-2023,53,3-2023,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
74,3-2023,118,8-2023,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
75,3-2023,117,8-2023,144,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
76,3-2023,83,8-2023,144,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
77,3-2023,29,8-2023,144,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
78,3-2023,84,8-2023,144,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
79,3-2023,93,8-2023,144,1,,,,,,,,,,,,,,,,,,,1,,,53,,,,,
80,8-2023,141,3-2023,117,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
81,8-2023,168,3-2023,117,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
82,8-2023,140,3-2023,117,1,,,,,,,,,,,,,,,,,,,1,,,118,,,,,
