at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2023,106,4-2023,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,4-2023,71,8-2023,53,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
2,4-2023,18,8-2023,53,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,
3,4-2023,69,8-2023,53,1,1,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
4,4-2023,109,8-2023,53,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5,8-2023,53,4-2023,51,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,
6,8-2023,140,4-2023,51,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
7,8-2023,168,4-2023,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,4-2023,17,8-2023,53,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
9,4-2023,51,8-2023,144,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
10,4-2023,76,8-2023,144,,,,,,,,,,,,,1,,,,,,,,1,,168,,,,,
11,8-2023,144,4-2023,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,
12,4-2023,78,8-2023,53,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
13,4-2023,71,8-2023,53,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
14,4-2023,18,8-2023,53,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
15,4-2023,69,8-2023,53,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,8-2023,106,4-2023,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,4-2023,51,8-2023,53,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
18,4-2023,76,8-2023,53,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
19,8-2023,53,4-2023,51,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
20,8-2023,168,4-2023,51,1,,1,,,,,,1,,,1,,,1,1,,,,,,,,,,,,
21,8-2023,144,4-2023,51,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
22,8-2023,140,4-2023,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,8-2023,106,4-2023,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
24,8-2023,53,4-2023,17,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,4-2023,17,8-2023,53,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
26,4-2023,109,8-2023,53,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
27,4-2023,78,8-2023,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
