at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,4-2024,51,8-2024,37,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,
1,4-2024,52,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2,8-2024,143,4-2024,51,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,
3,8-2024,168,4-2024,51,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
4,8-2024,55,4-2024,51,1,1,,,,,,,,,,,,,,,,,,1,,,17,,,,,
5,4-2024,17,8-2024,37,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
6,4-2024,18,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7,8-2024,37,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,4-2024,71,8-2024,37,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
9,4-2024,69,8-2024,37,1,,,,,,,,,,,,,,,,,,,1,,,55,,,,,
10,8-2024,144,4-2024,51,,,,,,,,,,,,,,,,,,,,,1,,17,,,,,
11,4-2024,51,8-2024,37,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,
12,4-2024,52,8-2024,37,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
13,4-2024,69,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
14,8-2024,106,4-2024,51,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
15,8-2024,143,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,4-2024,71,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,8-2024,53,4-2024,51,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,
18,8-2024,141,4-2024,51,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,
19,8-2024,168,4-2024,17,,,,,,,,,,,,,1,,,,,,,,1,,52,,,,,
20,4-2024,17,8-2024,37,1,,,,,,,,,,,,,,,,,,,1,,,143,,,,,
21,8-2024,144,4-2024,69,1,,,,,,,,,,,,,,,,,,,1,,,52,,,,,
22,4-2024,18,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
23,8-2024,143,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
24,4-2024,51,8-2024,37,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,
25,4-2024,17,8-2024,37,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,
26,4-2024,52,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
27,8-2024,53,4-2024,69,,,,,,,,,,,,,,,,,,,,,,1,17,,,,,
28,4-2024,71,8-2024,37,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,4-2024,18,8-2024,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
30,8-2024,106,4-2024,69,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
31,8-2024,37,4-2024,69,,,,,,,,,,,,,,,,,,,,,1,,52,,,,,
32,4-2024,69,8-2024,37,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,
33,4-2024,51,8-2024,37,,,,,,,,,,1,,,1,1,,1,1,,,,,,,,,,,
34,4-2024,17,8-2024,37,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
35,4-2024,52,8-2024,37,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
36,8-2024,55,4-2024,69,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
37,8-2024,144,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
38,4-2024,18,8-2024,37,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,
39,4-2024,71,8-2024,37,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
40,4-2024,69,8-2024,37,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
41,4-2024,17,8-2024,37,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
42,4-2024,51,8-2024,55,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
43,4-2024,52,8-2024,55,1,,,,,,,,,,,,,,,,,,,1,,,53,,,,,
44,8-2024,141,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
45,4-2024,18,8-2024,55,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
46,4-2024,71,8-2024,55,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
47,4-2024,69,8-2024,55,1,,,,,,,,,,,,,,,,,,,1,,,168,,,,,
48,8-2024,53,4-2024,69,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,
49,8-2024,168,4-2024,69,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
50,8-2024,55,4-2024,69,,1,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,
51,8-2024,37,4-2024,69,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
52,8-2024,106,4-2024,69,,,,,,,,,,,,,,,,,,,,,,1,17,,,,,
53,4-2024,17,8-2024,55,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
54,4-2024,69,8-2024,37,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
55,4-2024,17,8-2024,37,1,,,,,,,,,,,,,,,,,,,1,,,106,,,,,
56,8-2024,143,4-2024,17,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
57,8-2024,53,4-2024,17,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
58,8-2024,144,4-2024,69,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,
59,8-2024,141,4-2024,69,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,
60,8-2024,37,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
61,4-2024,18,8-2024,37,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
62,8-2024,103,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
63,4-2024,71,8-2024,37,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
64,4-2024,51,8-2024,37,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
65,4-2024,52,8-2024,37,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
66,4-2024,51,8-2024,37,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
67,4-2024,17,8-2024,37,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
68,4-2024,69,8-2024,37,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
69,4-2024,71,8-2024,168,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
70,4-2024,18,8-2024,168,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
