at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,3-2024,94,5-2024,131,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
1,3-2024,93,5-2024,131,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
2,3-2024,29,5-2024,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3,5-2024,121,3-2024,128,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,
4,5-2024,126,3-2024,128,,,,,,,,1,,,,,,1,1,1,1,,,,,,,,,,,
5,5-2024,24,3-2024,128,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
6,5-2024,130,3-2024,128,,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,
7,5-2024,131,3-2024,128,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,3-2024,84,5-2024,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
9,5-2024,170,3-2024,128,1,,1,,,,,,1,1,,,,,,1,1,,,,,,,,,,,
10,5-2024,129,3-2024,128,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
11,5-2024,127,3-2024,128,1,1,,,,,,,,,,,,,,,,,,1,,,29,,,,,
12,3-2024,128,5-2024,131,1,,,,1,,,,,,,,,,,,,,,,,1,121,,,,,
13,5-2024,172,3-2024,29,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
14,5-2024,169,3-2024,29,,,,,,,,,,,,,,,,,,,,,,1,29,,,,,
15,3-2024,96,5-2024,131,1,,,,,,,,,,,,,,,,,,,1,,,172,,,,,
16,5-2024,170,3-2024,29,1,,1,,,,,,,1,,1,,1,,1,,,,,,,,,,,,
17,5-2024,126,3-2024,29,,,,,,,,1,,,1,,,1,1,,1,,,,,,,,,,,
18,5-2024,121,3-2024,29,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,
19,5-2024,172,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,3-2024,94,5-2024,131,1,,,1,,,,,,,,,,,1,,,,,,1,,126,,,,,
21,3-2024,29,5-2024,131,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
22,3-2024,128,5-2024,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5-2024,129,3-2024,128,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
24,5-2024,24,3-2024,128,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
