at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2024,141,5-2024,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,5-2024,121,8-2024,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
2,5-2024,126,8-2024,144,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,
3,5-2024,24,8-2024,144,1,1,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
4,5-2024,130,8-2024,144,1,2,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
5,5-2024,131,8-2024,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
6,5-2024,127,8-2024,144,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
7,5-2024,169,8-2024,144,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
8,5-2024,136,8-2024,144,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
9,5-2024,129,8-2024,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10,8-2024,106,5-2024,24,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
11,8-2024,144,5-2024,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
12,5-2024,125,8-2024,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,8-2024,173,5-2024,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
14,5-2024,121,8-2024,144,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,
15,5-2024,126,8-2024,144,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
16,5-2024,24,8-2024,144,1,,,,,,,,,,,,,,,,,,,1,,,143,,,,,
17,8-2024,53,5-2024,24,,,,,,,,1,1,,1,,,,1,,1,,,,,,,,,,,
18,8-2024,181,5-2024,24,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,
19,8-2024,168,5-2024,24,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,
20,8-2024,75,5-2024,24,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,8-2024,140,5-2024,24,1,,,,,,,,,,,,,,,,,,,1,,,127,,,,,
22,5-2024,131,8-2024,144,1,,,1,,,,,,1,,,,,,1,,,,,1,,55,,,,,
23,5-2024,127,8-2024,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,8-2024,171,5-2024,24,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
25,8-2024,143,5-2024,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
26,5-2024,125,8-2024,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,5-2024,129,8-2024,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
28,8-2024,103,5-2024,24,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
29,8-2024,53,5-2024,24,1,,,1,,,,,,,,,,,,,,,,,,1,24,,,,,
30,8-2024,75,5-2024,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5-2024,136,8-2024,144,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
32,5-2024,169,8-2024,144,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
33,5-2024,130,8-2024,144,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,
34,5-2024,24,8-2024,144,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
