at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,4-2024,51,5-2024,131,1,,1,,,,,,,,,,,,,,,,,,1,,169,,,,,
1,5-2024,121,4-2024,69,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2,5-2024,131,4-2024,69,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
3,5-2024,127,4-2024,69,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,4-2024,17,5-2024,131,1,,,,,,,,,,,,,,,,,,,,1,,169,,,,,
5,5-2024,125,4-2024,69,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
6,5-2024,24,4-2024,69,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
7,5-2024,130,4-2024,69,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
8,5-2024,169,4-2024,69,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
9,5-2024,136,4-2024,69,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,5-2024,167,4-2024,69,1,1,1,,,,,,,,,,,,,,,,,,,1,69,,,,,
11,4-2024,176,5-2024,131,1,,,1,,,,,,,,,,,1,1,,,,,,1,24,,,,,
12,4-2024,69,5-2024,131,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
13,4-2024,52,5-2024,131,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
14,5-2024,129,4-2024,69,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,
15,5-2024,166,4-2024,69,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
16,5-2024,127,4-2024,69,1,,,,,,,,,,,,,,,,,,,1,,,178,,,,,
17,4-2024,177,5-2024,131,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
18,4-2024,178,5-2024,131,1,,,,,,,,,,,,,,,,,,,1,,,121,,,,,
19,5-2024,121,4-2024,69,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
20,5-2024,131,4-2024,69,,,,,,,,,,,,,,,,,,,,1,,,177,,,,,
21,4-2024,175,5-2024,131,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
22,4-2024,179,5-2024,131,1,,,,,,,,,,,,,,,,,,,1,,,24,,,,,
23,5-2024,125,4-2024,177,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,5-2024,166,4-2024,177,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
25,4-2024,175,5-2024,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
26,5-2024,129,4-2024,177,1,,1,,,,,,,,,,,1,1,,,,,,1,,51,,,,,
27,5-2024,24,4-2024,177,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,4-2024,176,5-2024,24,1,,,1,,,,,,,,,,,,,,,,,1,,131,,,,,
29,4-2024,179,5-2024,24,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
30,4-2024,177,5-2024,24,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
31,5-2024,130,4-2024,177,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
32,5-2024,169,4-2024,177,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
33,5-2024,136,4-2024,177,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
34,5-2024,167,4-2024,177,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
35,4-2024,17,5-2024,127,1,,,,,,,,,,,,,,,,,,,1,,,125,,,,,
36,5-2024,121,4-2024,177,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
37,5-2024,131,4-2024,177,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
38,4-2024,51,5-2024,127,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
39,4-2024,69,5-2024,127,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
40,4-2024,52,5-2024,127,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
41,4-2024,178,5-2024,127,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
42,5-2024,125,4-2024,177,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
43,5-2024,24,4-2024,177,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
44,5-2024,130,4-2024,177,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,
45,5-2024,136,4-2024,177,,2,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
46,5-2024,169,4-2024,177,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
