at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,assist_1,assist_2,assist_3,assist_4,assist_5,assist_6,error,error_1,error_2,error_3,error_4
0,29,94,22,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,21,46,29,117,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
2,21,76,29,117,1,,,1,,,,,,,,,,,1,1,,,,,1,,29,116,,,,,,,,,,,
3,21,69,29,117,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,18,29,117,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,29,116,21,90,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29,93,21,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7,21,51,29,117,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,21,90,29,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21,109,29,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
10,29,117,21,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29,29,21,90,1,,,,,,,,,,,,,,,,,,,1,,,51,,,,,,,,,,,,
12,21,71,29,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13,29,118,21,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,29,119,21,90,1,,,,,,,,,,,,,,,,,,,1,,,109,,,,,,,,,,,,
15,21,46,29,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,90,29,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
17,29,96,21,51,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
18,29,120,21,51,1,,,,1,,,,,,,,,,,,,,,,1,,76,46,,,,,,,,,,,
19,29,83,21,51,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29,117,21,51,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,116,21,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,76,29,83,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
23,21,18,29,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
24,21,69,29,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21,109,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
26,29,93,21,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29,118,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,21,71,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
29,29,94,21,51,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,29,120,21,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
31,21,51,29,29,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
32,21,46,29,29,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
33,21,69,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,29,96,21,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
35,29,83,21,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29,119,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
37,21,90,29,29,,,,,,,,1,1,,,,,,1,1,,,,,,1,83,,,,,,,,,,,,
38,21,51,29,29,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39,29,29,21,51,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40,21,76,29,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
41,21,18,29,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,21,109,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
43,29,119,21,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,29,117,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
45,21,71,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
46,29,93,21,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,29,116,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
48,21,46,29,29,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
49,21,51,29,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,21,76,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
51,29,118,21,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,29,119,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
53,21,90,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
54,29,94,21,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
55,29,83,21,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,29,29,21,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
57,21,109,29,29,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,21,18,29,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
59,29,96,21,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
60,21,71,29,29,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
61,21,69,29,29,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
62,21,76,29,29,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
63,29,120,21,51,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
64,29,83,21,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
65,21,46,29,83,1,,1,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
66,21,51,29,83,,,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,
67,21,69,29,29,1,1,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
68,21,18,29,29,1,,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,
69,21,71,29,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
70,21,109,29,119,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
71,21,69,29,119,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
