at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,assist_1,assist_2,assist_3,assist_4,assist_5,assist_6,error,error_1,error_2,error_3,error_4
0,3-2024,94,4-2024,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,4-2024,46,3-2024,117,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
2,4-2024,76,3-2024,117,1,,,1,,,,,,,,,,,1,1,,,,,1,,29,116,,,,,,,,,,,
3,4-2024,69,3-2024,117,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-2024,18,3-2024,117,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-2024,116,4-2024,90,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-2024,93,4-2024,90,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
7,4-2024,51,3-2024,117,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,4-2024,90,3-2024,117,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4-2024,109,3-2024,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
10,3-2024,117,4-2024,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3-2024,29,4-2024,90,1,,,,,,,,,,,,,,,,,,,1,,,51,,,,,,,,,,,,
12,4-2024,71,3-2024,117,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
13,3-2024,118,4-2024,90,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3-2024,119,4-2024,90,1,,,,,,,,,,,,,,,,,,,1,,,109,,,,,,,,,,,,
15,4-2024,46,3-2024,83,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4-2024,90,3-2024,83,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
17,3-2024,96,4-2024,51,1,,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
18,3-2024,120,4-2024,51,1,,,,1,,,,,,,,,,,,,,,,1,,76,46,,,,,,,,,,,
19,3-2024,83,4-2024,51,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3-2024,117,4-2024,51,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3-2024,116,4-2024,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4-2024,76,3-2024,83,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
23,4-2024,18,3-2024,83,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
24,4-2024,69,3-2024,83,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4-2024,109,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
26,3-2024,93,4-2024,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3-2024,118,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,4-2024,71,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
29,3-2024,94,4-2024,51,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3-2024,120,4-2024,51,1,,,,,,,,,,,,,,,,,,,1,,,69,,,,,,,,,,,,
31,4-2024,51,3-2024,29,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
32,4-2024,46,3-2024,29,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
33,4-2024,69,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,3-2024,96,4-2024,51,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
35,3-2024,83,4-2024,51,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3-2024,119,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
37,4-2024,90,3-2024,29,,,,,,,,1,1,,,,,,1,1,,,,,,1,83,,,,,,,,,,,,
38,4-2024,51,3-2024,29,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39,3-2024,29,4-2024,51,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40,4-2024,76,3-2024,29,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
41,4-2024,18,3-2024,29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4-2024,109,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
43,3-2024,119,4-2024,51,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3-2024,117,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
45,4-2024,71,3-2024,29,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
46,3-2024,93,4-2024,51,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3-2024,116,4-2024,51,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
48,4-2024,46,3-2024,29,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
49,4-2024,51,3-2024,29,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
